equihash_params,miners,sol_per_sec,target_spacing,propagation_delay,pow_profile,seed,mean,p10,p50,p90,p99,orphans,orphan_rate,efficiency,convergence_height
common,10,2.992480350,75,0.500000,mainnet,42,138.504332,14.798443,95.622936,318.851891,643.712614,36,0.003600000,0.996412914,17
common,10,2.992480350,75,0.500000,mainnet,43,136.377766,14.499346,95.609846,317.284672,606.768115,35,0.003500000,0.996512207,56
common,10,2.992480350,75,0.500000,mainnet,44,137.501941,14.813865,95.779985,314.691331,650.014915,31,0.003100000,0.996909580,63
common,10,2.992480350,75,0.500000,mainnet,45,135.711881,14.141710,93.745564,316.588934,638.435424,36,0.003600000,0.996412914,27
common,10,2.992480350,75,0.500000,mainnet,46,137.572904,13.874212,94.460601,317.222273,648.628358,39,0.003900000,0.996115151,180
common,10,2.992480350,75,0.500000,mainnet,47,136.533693,14.440583,93.238059,318.383285,628.497839,42,0.004200000,0.995817566,374
common,10,2.992480350,75,0.500000,mainnet,48,137.427852,14.230919,95.256731,316.575730,632.203588,39,0.003900000,0.996115151,48
common,10,2.992480350,75,0.500000,mainnet,49,140.204416,15.170783,97.291064,320.508638,642.090623,28,0.002800000,0.997207818,73
common,10,2.992480350,75,0.500000,mainnet,50,136.022103,13.922487,93.944038,314.323460,633.582745,28,0.002800000,0.997207818,145
common,10,2.992480350,75,0.500000,mainnet,51,137.688716,14.812177,93.715449,316.745832,662.412742,37,0.003700000,0.996313640,54
common,10,2.992480350,75,0.500000,mainnet,52,136.251768,14.448231,93.862973,313.544729,638.882346,27,0.002700000,0.997307270,98
common,10,2.992480350,75,0.500000,mainnet,53,137.721240,14.606201,94.549802,318.557258,625.336115,38,0.003800000,0.996214385,91
common,10,2.992480350,75,0.500000,mainnet,54,137.427304,14.255029,96.176047,312.311816,635.318345,41,0.004100000,0.995916741,190
common,10,2.992480350,75,0.500000,mainnet,55,136.537317,14.619792,96.014232,310.036706,640.384632,32,0.003200000,0.996810207,67
common,10,2.992480350,75,0.500000,mainnet,56,137.506385,14.645689,96.057593,317.617020,621.083199,34,0.003400000,0.996611521,134
common,10,2.992480350,75,0.500000,mainnet,57,136.267812,14.889447,95.166665,313.084832,627.888871,32,0.003200000,0.996810207,191
common,10,2.992480350,75,0.500000,mainnet,58,137.524863,14.983036,96.416300,316.750145,630.886784,35,0.003500000,0.996512207,20
common,10,2.992480350,75,0.500000,mainnet,59,135.277072,13.585340,94.080256,309.472337,633.034470,31,0.003100000,0.996909580,406
common,10,2.992480350,75,0.500000,mainnet,60,137.239874,15.043876,95.072379,319.064990,610.538774,29,0.002900000,0.997108386,154
common,10,2.992480350,75,0.500000,mainnet,61,138.058092,15.348723,96.342308,321.496384,617.313562,30,0.003000000,0.997008973,38
common,10,2.992480350,75,0.500000,mainnet,62,136.287810,14.519771,96.558549,309.922171,629.125390,27,0.002700000,0.997307270,236
common,10,2.992480350,75,0.500000,mainnet,63,135.834783,13.771807,94.157571,312.357738,613.898924,32,0.003200000,0.996810207,50
common,10,2.992480350,75,0.500000,mainnet,64,138.488966,14.421918,96.047360,318.823514,639.800182,34,0.003400000,0.996611521,134
common,10,2.992480350,75,0.500000,mainnet,65,134.446086,13.939847,92.645683,309.893172,633.739959,33,0.003300000,0.996710854,92
common,10,2.992480350,75,0.500000,mainnet,66,137.478641,14.578435,95.105407,319.171699,623.416528,41,0.004100000,0.995916741,17
common,10,2.992480350,75,0.500000,mainnet,67,139.178536,14.385495,96.309045,318.553214,635.709137,33,0.003300000,0.996710854,17
common,10,2.992480350,75,0.500000,mainnet,68,138.858884,14.432933,96.753845,323.625091,630.472899,21,0.002100000,0.997904401,17
common,10,2.992480350,75,0.500000,mainnet,69,137.073647,14.415667,95.450063,317.570289,636.299097,40,0.004000000,0.996015936,369
common,10,2.992480350,75,0.500000,mainnet,70,137.853062,14.920131,92.912683,318.221161,656.206089,31,0.003100000,0.996909580,199
common,10,2.992480350,75,0.500000,mainnet,71,136.885795,14.267545,93.173687,317.871048,631.921536,33,0.003300000,0.996710854,18
common,10,2.992480350,75,0.500000,mainnet,72,135.687670,14.149658,94.056228,314.807567,615.409137,41,0.004100000,0.995916741,262
common,10,2.992480350,75,0.500000,mainnet,73,137.818667,14.674071,95.243313,312.299921,640.827126,40,0.004000000,0.996015936,57
common,10,2.992480350,75,0.500000,mainnet,74,139.292827,15.531925,95.480446,326.413922,629.818638,26,0.002600000,0.997406742,66
common,10,2.992480350,75,0.500000,mainnet,75,138.393983,14.206533,95.043858,316.908601,649.856802,31,0.003100000,0.996909580,215
common,10,2.992480350,75,0.500000,mainnet,76,137.525422,14.780297,94.317122,315.608057,622.678281,31,0.003100000,0.996909580,129
common,10,2.992480350,75,0.500000,mainnet,77,137.515714,14.058052,96.149611,316.903808,620.313786,48,0.004800000,0.995222930,80
common,10,2.992480350,75,0.500000,mainnet,78,135.847097,13.744844,94.676404,314.336909,616.806521,26,0.002600000,0.997406742,117
common,10,2.992480350,75,0.500000,mainnet,79,138.887065,15.397613,97.748323,316.831496,638.759564,40,0.004000000,0.996015936,23
common,10,2.992480350,75,0.500000,mainnet,80,135.810069,14.044863,93.318488,314.712980,638.295154,27,0.002700000,0.997307270,41
common,10,2.992480350,75,0.500000,mainnet,81,138.118577,14.354327,97.259445,314.942572,631.038088,39,0.003900000,0.996115151,25
common,10,2.992480350,75,0.500000,mainnet,82,137.591358,14.791879,95.489146,319.756284,631.176557,35,0.003500000,0.996512207,94
common,10,2.992480350,75,0.500000,mainnet,83,138.397580,14.751630,96.115112,319.424951,622.470791,41,0.004100000,0.995916741,1269
common,10,2.992480350,75,0.500000,mainnet,84,137.963404,13.685761,95.737486,317.845363,629.616023,37,0.003700000,0.996313640,40
